gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
ydfZ	580	188	66	14	225	83	25	3
trpS	11619	10782	2407	988	9759	14202	918	723
ydeH	71	89	86	60	64	65	24	48
ydeI	53	129	11	9	48	113	3	5
ydeJ	10	88	10	10	13	57	3	7
rpe	4515	4509	851	327	3482	4931	333	235
dam	794	604	833	320	784	628	369	293
ydfI	59	70	30	32	58	65	20	26
pyrE	3303	810	467	74	1570	966	116	49
glyS	30040	23116	8887	3756	31965	27318	4200	2554
ybbN	12417	6362	2159	474	8625	8038	635	387
yiaG	165	642	52	73	118	616	34	44
cspA	4941	10574	1100	915	13333	12041	976	999
ghrB	6788	5283	1070	407	3750	4485	348	250
ybbM	241	193	77	50	193	164	40	33
insJ	20	21	31	21	32	17	6	13
insK	35	16	54	27	48	20	27	21
hokA	7	1	8	2	2	3	2	3
tesA	801	1470	225	153	644	1478	59	84
ybbO	848	1170	340	180	720	1161	87	140
ppsA	19738	18324	5848	2773	12698	22861	1838	1847
fadK	23	24	37	28	27	32	10	16
ytfB	1062	2109	417	286	980	1761	140	163
ydiT	5	16	3	4	4	10	1	5
ydiS	24	28	25	36	32	25	16	25
ompN	33	31	43	29	56	39	17	23
ydiR	53	91	257	210	36	61	126	215
insH-5	138	118	89	31	81	99	33	29
stfR	30	26	55	40	26	22	17	26
tfaR	1	1	1	0	0	2	0	0
pinR	6	16	2	0	9	12	0	2
ynaE	2	5	0	0	4	0	0	1
uspF	618	2339	244	184	386	1469	111	120
ebgA	136	76	141	83	136	76	87	84
ebgC	23	11	5	5	33	13	10	4
ygjH	62	31	20	2	132	52	10	8
ebgR	523	358	174	69	478	377	69	58
aer	2880	1369	1570	431	2123	2284	555	494
patA	77	393	72	82	114	528	45	72
mntH	311	457	217	185	292	575	65	183
yqjI	806	973	131	73	536	857	55	58
mug	841	1590	224	202	594	1346	90	120
nrfG	11	10	15	2	8	4	5	9
